  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   0.033333         NaN         NaN         NaN           NaN             NaN
   0.033667         NaN         NaN         NaN           NaN             NaN
   0.034000         NaN         NaN         NaN           NaN             NaN
   0.034333         NaN         NaN         NaN           NaN             NaN
   0.034667         NaN         NaN         NaN           NaN             NaN
   0.035000         NaN         NaN         NaN           NaN             NaN
   0.035333         NaN         NaN         NaN           NaN             NaN
   0.035667         NaN         NaN         NaN           NaN             NaN
   0.036000         NaN         NaN         NaN           NaN             NaN
   0.036333         NaN         NaN         NaN           NaN             NaN
   0.036667         NaN         NaN         NaN           NaN             NaN
   0.037000         NaN         NaN         NaN           NaN             NaN
   0.037333         NaN         NaN         NaN           NaN             NaN
   0.037667         NaN         NaN         NaN           NaN             NaN
   0.038000         NaN         NaN         NaN           NaN             NaN
   0.038333         NaN         NaN         NaN           NaN             NaN
   0.038667         NaN         NaN         NaN           NaN             NaN
   0.039000         NaN         NaN         NaN           NaN             NaN
   0.039333         NaN         NaN         NaN           NaN             NaN
   0.039667         NaN         NaN         NaN           NaN             NaN
   0.040000         NaN         NaN         NaN           NaN             NaN
   0.040333         NaN         NaN         NaN           NaN             NaN
   0.040667         NaN         NaN         NaN           NaN             NaN
   0.041000         NaN         NaN         NaN           NaN             NaN
   0.041333         NaN         NaN         NaN           NaN             NaN
   0.041667         NaN         NaN         NaN           NaN             NaN
   0.042000         NaN         NaN         NaN           NaN             NaN
   0.042333         NaN         NaN         NaN           NaN             NaN
   0.042667         NaN         NaN         NaN           NaN             NaN
   0.043000         NaN         NaN         NaN           NaN             NaN
   0.043333         NaN         NaN         NaN           NaN             NaN
   0.043667         NaN         NaN         NaN           NaN             NaN
   0.044000         NaN         NaN         NaN           NaN             NaN
   0.044333         NaN         NaN         NaN           NaN             NaN
   0.044667         NaN         NaN         NaN           NaN             NaN
   0.045000         NaN         NaN         NaN           NaN             NaN
   0.045333         NaN         NaN         NaN           NaN             NaN
   0.045667         NaN         NaN         NaN           NaN             NaN
   0.046000         NaN         NaN         NaN           NaN             NaN
   0.046333         NaN         NaN         NaN           NaN             NaN
   0.046667         NaN         NaN         NaN           NaN             NaN
   0.047000         NaN         NaN         NaN           NaN             NaN
   0.047333         NaN         NaN         NaN           NaN             NaN
   0.047667         NaN         NaN         NaN           NaN             NaN
   0.048000         NaN         NaN         NaN           NaN             NaN
   0.048333         NaN         NaN         NaN           NaN             NaN
   0.048667         NaN         NaN         NaN           NaN             NaN
   0.049000         NaN         NaN         NaN           NaN             NaN
   0.049333         NaN         NaN         NaN           NaN             NaN
   0.049667         NaN         NaN         NaN           NaN             NaN
   0.050000         NaN         NaN         NaN           NaN             NaN
   0.050333         NaN         NaN         NaN           NaN             NaN
   0.050667         NaN         NaN         NaN           NaN             NaN
   0.051000         NaN         NaN         NaN           NaN             NaN
   0.051333         NaN         NaN         NaN           NaN             NaN
   0.051667         NaN         NaN         NaN           NaN             NaN
   0.052000         NaN         NaN         NaN           NaN             NaN
   0.052333         NaN         NaN         NaN           NaN             NaN
   0.052667         NaN         NaN         NaN           NaN             NaN
   0.053000         NaN         NaN         NaN           NaN             NaN
   0.053333         NaN         NaN         NaN           NaN             NaN
   0.053667         NaN         NaN         NaN           NaN             NaN
   0.054000         NaN         NaN         NaN           NaN             NaN
   0.054333         NaN         NaN         NaN           NaN             NaN
   0.054667         NaN         NaN         NaN           NaN             NaN
   0.055000         NaN         NaN         NaN           NaN             NaN
   0.055333         NaN         NaN         NaN           NaN             NaN
   0.055667         NaN         NaN         NaN           NaN             NaN
   0.056000         NaN         NaN         NaN           NaN             NaN
   0.056333         NaN         NaN         NaN           NaN             NaN
   0.056667         NaN         NaN         NaN           NaN             NaN
   0.057000         NaN         NaN         NaN           NaN             NaN
   0.057333         NaN         NaN         NaN           NaN             NaN
   0.057667         NaN         NaN         NaN           NaN             NaN
   0.058000         NaN         NaN         NaN           NaN             NaN
   0.058333         NaN         NaN         NaN           NaN             NaN
   0.058667         NaN         NaN         NaN           NaN             NaN
   0.059000         NaN         NaN         NaN           NaN             NaN
   0.059333         NaN         NaN         NaN           NaN             NaN
   0.059667         NaN         NaN         NaN           NaN             NaN
   0.060000         NaN         NaN         NaN           NaN             NaN
   0.060333         NaN         NaN         NaN           NaN             NaN
   0.060667         NaN         NaN         NaN           NaN             NaN
   0.061000         NaN         NaN         NaN           NaN             NaN
   0.061333         NaN         NaN         NaN           NaN             NaN
   0.061667         NaN         NaN         NaN           NaN             NaN
   0.062000         NaN         NaN         NaN           NaN             NaN
   0.062333         NaN         NaN         NaN           NaN             NaN
   0.062667         NaN         NaN         NaN           NaN             NaN
   0.063000         NaN         NaN         NaN           NaN             NaN
   0.063333         NaN         NaN         NaN           NaN             NaN
   0.063667         NaN         NaN         NaN           NaN             NaN
   0.064000         NaN         NaN         NaN           NaN             NaN
   0.064333         NaN         NaN         NaN           NaN             NaN
   0.064667         NaN         NaN         NaN           NaN             NaN
   0.065000         NaN         NaN         NaN           NaN             NaN
   0.065333         NaN         NaN         NaN           NaN             NaN
   0.065667         NaN         NaN         NaN           NaN             NaN
   0.066000         NaN         NaN         NaN           NaN             NaN
   0.066333         NaN         NaN         NaN           NaN             NaN
   0.066667         NaN         NaN         NaN           NaN             NaN
   0.067000         NaN         NaN         NaN           NaN             NaN
   0.067333         NaN         NaN         NaN           NaN             NaN
   0.067667         NaN         NaN         NaN           NaN             NaN
   0.068000         NaN         NaN         NaN           NaN             NaN
   0.068333         NaN         NaN         NaN           NaN             NaN
   0.068667         NaN         NaN         NaN           NaN             NaN
   0.069000         NaN         NaN         NaN           NaN             NaN
   0.069333         NaN         NaN         NaN           NaN             NaN
   0.069667         NaN         NaN         NaN           NaN             NaN
   0.070000         NaN         NaN         NaN           NaN             NaN
   0.070333         NaN         NaN         NaN           NaN             NaN
   0.070667         NaN         NaN         NaN           NaN             NaN
   0.071000         NaN         NaN         NaN           NaN             NaN
   0.071333         NaN         NaN         NaN           NaN             NaN
   0.071667         NaN         NaN         NaN           NaN             NaN
   0.072000         NaN         NaN         NaN           NaN             NaN
   0.072333         NaN         NaN         NaN           NaN             NaN
   0.072667         NaN         NaN         NaN           NaN             NaN
   0.073000         NaN         NaN         NaN           NaN             NaN
   0.073333         NaN         NaN         NaN           NaN             NaN
   0.073667         NaN         NaN         NaN           NaN             NaN
   0.074000         NaN         NaN         NaN           NaN             NaN
   0.074333         NaN         NaN         NaN           NaN             NaN
   0.074667         NaN         NaN         NaN           NaN             NaN
   0.075000         NaN         NaN         NaN           NaN             NaN
   0.075333         NaN         NaN         NaN           NaN             NaN
   0.075667         NaN         NaN         NaN           NaN             NaN
   0.076000         NaN         NaN         NaN           NaN             NaN
   0.076333         NaN         NaN         NaN           NaN             NaN
   0.076667         NaN         NaN         NaN           NaN             NaN
   0.077000         NaN         NaN         NaN           NaN             NaN
   0.077333         NaN         NaN         NaN           NaN             NaN
   0.077667         NaN         NaN         NaN           NaN             NaN
   0.078000         NaN         NaN         NaN           NaN             NaN
   0.078333         NaN         NaN         NaN           NaN             NaN
   0.078667         NaN         NaN         NaN           NaN             NaN
   0.079000         NaN         NaN         NaN           NaN             NaN
   0.079333         NaN         NaN         NaN           NaN             NaN
   0.079667         NaN         NaN         NaN           NaN             NaN
   0.080000         NaN         NaN         NaN           NaN             NaN
   0.080333         NaN         NaN         NaN           NaN             NaN
   0.080667         NaN         NaN         NaN           NaN             NaN
   0.081000         NaN         NaN         NaN           NaN             NaN
   0.081333         NaN         NaN         NaN           NaN             NaN
   0.081667         NaN         NaN         NaN           NaN             NaN
   0.082000         NaN         NaN         NaN           NaN             NaN
   0.082333         NaN         NaN         NaN           NaN             NaN
   0.082667         NaN         NaN         NaN           NaN             NaN
   0.083000         NaN         NaN         NaN           NaN             NaN
   0.083333         NaN         NaN         NaN           NaN             NaN
   0.083667         NaN         NaN         NaN           NaN             NaN
   0.084000         NaN         NaN         NaN           NaN             NaN
   0.084333         NaN         NaN         NaN           NaN             NaN
   0.084667         NaN         NaN         NaN           NaN             NaN
   0.085000         NaN         NaN         NaN           NaN             NaN
   0.085333         NaN         NaN         NaN           NaN             NaN
   0.085667         NaN         NaN         NaN           NaN             NaN
   0.086000         NaN         NaN         NaN           NaN             NaN
   0.086333         NaN         NaN         NaN           NaN             NaN
   0.086667         NaN         NaN         NaN           NaN             NaN
   0.087000         NaN         NaN         NaN           NaN             NaN
   0.087333         NaN         NaN         NaN           NaN             NaN
   0.087667         NaN         NaN         NaN           NaN             NaN
   0.088000         NaN         NaN         NaN           NaN             NaN
   0.088333         NaN         NaN         NaN           NaN             NaN
   0.088667         NaN         NaN         NaN           NaN             NaN
   0.089000         NaN         NaN         NaN           NaN             NaN
   0.089333         NaN         NaN         NaN           NaN             NaN
   0.089667         NaN         NaN         NaN           NaN             NaN
   0.090000         NaN         NaN         NaN           NaN             NaN
   0.090333         NaN         NaN         NaN           NaN             NaN
   0.090667         NaN         NaN         NaN           NaN             NaN
   0.091000         NaN         NaN         NaN           NaN             NaN
   0.091333         NaN         NaN         NaN           NaN             NaN
   0.091667         NaN         NaN         NaN           NaN             NaN
   0.092000         NaN         NaN         NaN           NaN             NaN
   0.092333         NaN         NaN         NaN           NaN             NaN
   0.092667         NaN         NaN         NaN           NaN             NaN
   0.093000         NaN         NaN         NaN           NaN             NaN
   0.093333         NaN         NaN         NaN           NaN             NaN
   0.093667         NaN         NaN         NaN           NaN             NaN
   0.094000         NaN         NaN         NaN           NaN             NaN
   0.094333         NaN         NaN         NaN           NaN             NaN
   0.094667         NaN         NaN         NaN           NaN             NaN
   0.095000         NaN         NaN         NaN           NaN             NaN
   0.095333         NaN         NaN         NaN           NaN             NaN
   0.095667         NaN         NaN         NaN           NaN             NaN
   0.096000         NaN         NaN         NaN           NaN             NaN
   0.096333         NaN         NaN         NaN           NaN             NaN
   0.096667         NaN         NaN         NaN           NaN             NaN
   0.097000         NaN         NaN         NaN           NaN             NaN
   0.097333         NaN         NaN         NaN           NaN             NaN
   0.097667         NaN         NaN         NaN           NaN             NaN
   0.098000         NaN         NaN         NaN           NaN             NaN
   0.098333         NaN         NaN         NaN           NaN             NaN
   0.098667         NaN         NaN         NaN           NaN             NaN
   0.099000         NaN         NaN         NaN           NaN             NaN
   0.099333         NaN         NaN         NaN           NaN             NaN
   0.099667         NaN         NaN         NaN           NaN             NaN
   0.100000         NaN         NaN         NaN           NaN             NaN
   0.100333         NaN         NaN         NaN           NaN             NaN
   0.100667         NaN         NaN         NaN           NaN             NaN
   0.101000         NaN         NaN         NaN           NaN             NaN
   0.101333         NaN         NaN         NaN           NaN             NaN
   0.101667         NaN         NaN         NaN           NaN             NaN
   0.102000         NaN         NaN         NaN           NaN             NaN
   0.102333         NaN         NaN         NaN           NaN             NaN
   0.102667         NaN         NaN         NaN           NaN             NaN
   0.103000         NaN         NaN         NaN           NaN             NaN
   0.103333         NaN         NaN         NaN           NaN             NaN
   0.103667         NaN         NaN         NaN           NaN             NaN
   0.104000         NaN         NaN         NaN           NaN             NaN
   0.104333         NaN         NaN         NaN           NaN             NaN
   0.104667         NaN         NaN         NaN           NaN             NaN
   0.105000         NaN         NaN         NaN           NaN             NaN
   0.105333         NaN         NaN         NaN           NaN             NaN
   0.105667         NaN         NaN         NaN           NaN             NaN
   0.106000         NaN         NaN         NaN           NaN             NaN
   0.106333         NaN         NaN         NaN           NaN             NaN
   0.106667         NaN         NaN         NaN           NaN             NaN
   0.107000         NaN         NaN         NaN           NaN             NaN
   0.107333         NaN         NaN         NaN           NaN             NaN
   0.107667         NaN         NaN         NaN           NaN             NaN
   0.108000         NaN         NaN         NaN           NaN             NaN
   0.108333         NaN         NaN         NaN           NaN             NaN
   0.108667         NaN         NaN         NaN           NaN             NaN
   0.109000         NaN         NaN         NaN           NaN             NaN
   0.109333         NaN         NaN         NaN           NaN             NaN
   0.109667         NaN         NaN         NaN           NaN             NaN
   0.110000         NaN         NaN         NaN           NaN             NaN
   0.110333         NaN         NaN         NaN           NaN             NaN
   0.110667         NaN         NaN         NaN           NaN             NaN
   0.111000         NaN         NaN         NaN           NaN             NaN
   0.111333         NaN         NaN         NaN           NaN             NaN
   0.111667         NaN         NaN         NaN           NaN             NaN
   0.112000         NaN         NaN         NaN           NaN             NaN
   0.112333         NaN         NaN         NaN           NaN             NaN
   0.112667         NaN         NaN         NaN           NaN             NaN
   0.113000         NaN         NaN         NaN           NaN             NaN
   0.113333         NaN         NaN         NaN           NaN             NaN
   0.113667         NaN         NaN         NaN           NaN             NaN
   0.114000         NaN         NaN         NaN           NaN             NaN
   0.114333         NaN         NaN         NaN           NaN             NaN
   0.114667         NaN         NaN         NaN           NaN             NaN
   0.115000         NaN         NaN         NaN           NaN             NaN
   0.115333         NaN         NaN         NaN           NaN             NaN
   0.115667         NaN         NaN         NaN           NaN             NaN
   0.116000         NaN         NaN         NaN           NaN             NaN
   0.116333         NaN         NaN         NaN           NaN             NaN
   0.116667         NaN         NaN         NaN           NaN             NaN
   0.117000         NaN         NaN         NaN           NaN             NaN
   0.117333         NaN         NaN         NaN           NaN             NaN
   0.117667         NaN         NaN         NaN           NaN             NaN
   0.118000         NaN         NaN         NaN           NaN             NaN
   0.118333         NaN         NaN         NaN           NaN             NaN
   0.118667         NaN         NaN         NaN           NaN             NaN
   0.119000         NaN         NaN         NaN           NaN             NaN
   0.119333         NaN         NaN         NaN           NaN             NaN
   0.119667         NaN         NaN         NaN           NaN             NaN
   0.120000         NaN         NaN         NaN           NaN             NaN
   0.120333         NaN         NaN         NaN           NaN             NaN
   0.120667         NaN         NaN         NaN           NaN             NaN
   0.121000         NaN         NaN         NaN           NaN             NaN
   0.121333         NaN         NaN         NaN           NaN             NaN
   0.121667         NaN         NaN         NaN           NaN             NaN
   0.122000         NaN         NaN         NaN           NaN             NaN
   0.122333         NaN         NaN         NaN           NaN             NaN
   0.122667         NaN         NaN         NaN           NaN             NaN
   0.123000         NaN         NaN         NaN           NaN             NaN
   0.123333         NaN         NaN         NaN           NaN             NaN
   0.123667         NaN         NaN         NaN           NaN             NaN
   0.124000         NaN         NaN         NaN           NaN             NaN
   0.124333         NaN         NaN         NaN           NaN             NaN
   0.124667         NaN         NaN         NaN           NaN             NaN
   0.125000         NaN         NaN         NaN           NaN             NaN
   0.125333         NaN         NaN         NaN           NaN             NaN
   0.125667         NaN         NaN         NaN           NaN             NaN
   0.126000         NaN         NaN         NaN           NaN             NaN
   0.126333         NaN         NaN         NaN           NaN             NaN
   0.126667         NaN         NaN         NaN           NaN             NaN
   0.127000         NaN         NaN         NaN           NaN             NaN
   0.127333         NaN         NaN         NaN           NaN             NaN
   0.127667         NaN         NaN         NaN           NaN             NaN
   0.128000         NaN         NaN         NaN           NaN             NaN
   0.128333         NaN         NaN         NaN           NaN             NaN
   0.128667         NaN         NaN         NaN           NaN             NaN
   0.129000         NaN         NaN         NaN           NaN             NaN
   0.129333         NaN         NaN         NaN           NaN             NaN
   0.129667         NaN         NaN         NaN           NaN             NaN
   0.130000         NaN         NaN         NaN           NaN             NaN
   0.130333         NaN         NaN         NaN           NaN             NaN
   0.130667         NaN         NaN         NaN           NaN             NaN
   0.131000         NaN         NaN         NaN           NaN             NaN
   0.131333         NaN         NaN         NaN           NaN             NaN
   0.131667         NaN         NaN         NaN           NaN             NaN
   0.132000         NaN         NaN         NaN           NaN             NaN
   0.132333         NaN         NaN         NaN           NaN             NaN
   0.132667         NaN         NaN         NaN           NaN             NaN
   0.133000         NaN         NaN         NaN           NaN             NaN
   0.133333         NaN         NaN         NaN           NaN             NaN
   0.133667         NaN         NaN         NaN           NaN             NaN
   0.134000         NaN         NaN         NaN           NaN             NaN
   0.134333         NaN         NaN         NaN           NaN             NaN
   0.134667         NaN         NaN         NaN           NaN             NaN
   0.135000         NaN         NaN         NaN           NaN             NaN
   0.135333         NaN         NaN         NaN           NaN             NaN
   0.135667         NaN         NaN         NaN           NaN             NaN
   0.136000         NaN         NaN         NaN           NaN             NaN
   0.136333         NaN         NaN         NaN           NaN             NaN
   0.136667         NaN         NaN         NaN           NaN             NaN
   0.137000         NaN         NaN         NaN           NaN             NaN
   0.137333         NaN         NaN         NaN           NaN             NaN
   0.137667         NaN         NaN         NaN           NaN             NaN
   0.138000         NaN         NaN         NaN           NaN             NaN
   0.138333         NaN         NaN         NaN           NaN             NaN
   0.138667         NaN         NaN         NaN           NaN             NaN
   0.139000         NaN         NaN         NaN           NaN             NaN
   0.139333         NaN         NaN         NaN           NaN             NaN
   0.139667         NaN         NaN         NaN           NaN             NaN
   0.140000         NaN         NaN         NaN           NaN             NaN
   0.140333         NaN         NaN         NaN           NaN             NaN
   0.140667         NaN         NaN         NaN           NaN             NaN
   0.141000         NaN         NaN         NaN           NaN             NaN
   0.141333         NaN         NaN         NaN           NaN             NaN
   0.141667         NaN         NaN         NaN           NaN             NaN
   0.142000         NaN         NaN         NaN           NaN             NaN
   0.142333         NaN         NaN         NaN           NaN             NaN
   0.142667         NaN         NaN         NaN           NaN             NaN
   0.143000         NaN         NaN         NaN           NaN             NaN
   0.143333         NaN         NaN         NaN           NaN             NaN
   0.143667         NaN         NaN         NaN           NaN             NaN
   0.144000         NaN         NaN         NaN           NaN             NaN
   0.144333         NaN         NaN         NaN           NaN             NaN
   0.144667         NaN         NaN         NaN           NaN             NaN
   0.145000         NaN         NaN         NaN           NaN             NaN
   0.145333         NaN         NaN         NaN           NaN             NaN
   0.145667         NaN         NaN         NaN           NaN             NaN
   0.146000         NaN         NaN         NaN           NaN             NaN
   0.146333         NaN         NaN         NaN           NaN             NaN
   0.146667         NaN         NaN         NaN           NaN             NaN
   0.147000         NaN         NaN         NaN           NaN             NaN
   0.147333         NaN         NaN         NaN           NaN             NaN
   0.147667         NaN         NaN         NaN           NaN             NaN
   0.148000         NaN         NaN         NaN           NaN             NaN
   0.148333         NaN         NaN         NaN           NaN             NaN
   0.148667         NaN         NaN         NaN           NaN             NaN
   0.149000         NaN         NaN         NaN           NaN             NaN
   0.149333         NaN         NaN         NaN           NaN             NaN
   0.149667         NaN         NaN         NaN           NaN             NaN
   0.150000         NaN         NaN         NaN           NaN             NaN
   0.150333         NaN         NaN         NaN           NaN             NaN
   0.150667         NaN         NaN         NaN           NaN             NaN
   0.151000         NaN         NaN         NaN           NaN             NaN
   0.151333         NaN         NaN         NaN           NaN             NaN
   0.151667         NaN         NaN         NaN           NaN             NaN
   0.152000         NaN         NaN         NaN           NaN             NaN
   0.152333         NaN         NaN         NaN           NaN             NaN
   0.152667         NaN         NaN         NaN           NaN             NaN
   0.153000         NaN         NaN         NaN           NaN             NaN
   0.153333         NaN         NaN         NaN           NaN             NaN
   0.153667         NaN         NaN         NaN           NaN             NaN
   0.154000         NaN         NaN         NaN           NaN             NaN
   0.154333         NaN         NaN         NaN           NaN             NaN
   0.154667         NaN         NaN         NaN           NaN             NaN
   0.155000         NaN         NaN         NaN           NaN             NaN
   0.155333         NaN         NaN         NaN           NaN             NaN
   0.155667         NaN         NaN         NaN           NaN             NaN
   0.156000         NaN         NaN         NaN           NaN             NaN
   0.156333         NaN         NaN         NaN           NaN             NaN
   0.156667         NaN         NaN         NaN           NaN             NaN
   0.157000         NaN         NaN         NaN           NaN             NaN
   0.157333         NaN         NaN         NaN           NaN             NaN
   0.157667         NaN         NaN         NaN           NaN             NaN
   0.158000         NaN         NaN         NaN           NaN             NaN
   0.158333         NaN         NaN         NaN           NaN             NaN
   0.158667         NaN         NaN         NaN           NaN             NaN
   0.159000         NaN         NaN         NaN           NaN             NaN
   0.159333         NaN         NaN         NaN           NaN             NaN
   0.159667         NaN         NaN         NaN           NaN             NaN
   0.160000         NaN         NaN         NaN           NaN             NaN
   0.160333         NaN         NaN         NaN           NaN             NaN
   0.160667         NaN         NaN         NaN           NaN             NaN
   0.161000         NaN         NaN         NaN           NaN             NaN
   0.161333         NaN         NaN         NaN           NaN             NaN
   0.161667         NaN         NaN         NaN           NaN             NaN
   0.162000         NaN         NaN         NaN           NaN             NaN
   0.162333         NaN         NaN         NaN           NaN             NaN
   0.162667         NaN         NaN         NaN           NaN             NaN
   0.163000         NaN         NaN         NaN           NaN             NaN
   0.163333         NaN         NaN         NaN           NaN             NaN
   0.163667         NaN         NaN         NaN           NaN             NaN
   0.164000         NaN         NaN         NaN           NaN             NaN
   0.164333         NaN         NaN         NaN           NaN             NaN
   0.164667         NaN         NaN         NaN           NaN             NaN
   0.165000         NaN         NaN         NaN           NaN             NaN
   0.165333         NaN         NaN         NaN           NaN             NaN
   0.165667         NaN         NaN         NaN           NaN             NaN
   0.166000         NaN         NaN         NaN           NaN             NaN
   0.166333         NaN         NaN         NaN           NaN             NaN
   0.166667         NaN         NaN         NaN           NaN             NaN
   0.167000         NaN         NaN         NaN           NaN             NaN
   0.167333         NaN         NaN         NaN           NaN             NaN
   0.167667         NaN         NaN         NaN           NaN             NaN
   0.168000         NaN         NaN         NaN           NaN             NaN
   0.168333         NaN         NaN         NaN           NaN             NaN
   0.168667         NaN         NaN         NaN           NaN             NaN
   0.169000         NaN         NaN         NaN           NaN             NaN
   0.169333         NaN         NaN         NaN           NaN             NaN
   0.169667         NaN         NaN         NaN           NaN             NaN
   0.170000         NaN         NaN         NaN           NaN             NaN
   0.170333         NaN         NaN         NaN           NaN             NaN
   0.170667         NaN         NaN         NaN           NaN             NaN
   0.171000         NaN         NaN         NaN           NaN             NaN
   0.171333         NaN         NaN         NaN           NaN             NaN
   0.171667         NaN         NaN         NaN           NaN             NaN
   0.172000         NaN         NaN         NaN           NaN             NaN
   0.172333         NaN         NaN         NaN           NaN             NaN
   0.172667         NaN         NaN         NaN           NaN             NaN
   0.173000         NaN         NaN         NaN           NaN             NaN
   0.173333         NaN         NaN         NaN           NaN             NaN
   0.173667         NaN         NaN         NaN           NaN             NaN
   0.174000         NaN         NaN         NaN           NaN             NaN
   0.174333         NaN         NaN         NaN           NaN             NaN
   0.174667         NaN         NaN         NaN           NaN             NaN
   0.175000         NaN         NaN         NaN           NaN             NaN
   0.175333         NaN         NaN         NaN           NaN             NaN
   0.175667         NaN         NaN         NaN           NaN             NaN
   0.176000         NaN         NaN         NaN           NaN             NaN
